vmid,cpu,mem,at,lt
93,1,2,1264.0,4544.667296362419
94,1,2,1264.0,6484.89694131124
95,1,2,1264.0,14651.62765427061
96,1,2,1264.0,6323.501813963767
97,1,2,1264.0,5422.925530128119
98,1,2,1264.0,12763.949624929766
99,12,24,1350.0,58.49689461961621
100,2,8,1649.0,66.85829350334552
101,1,2,1859.0,2496.4282547557004
102,4,8,1903.0,1683.6649403841373
103,4,8,2013.0,1534.4107710588016
104,1,2,2071.0,5829.4330320107
105,1,2,2071.0,4991.112114919903
106,1,2,2071.0,5843.308810740436
107,1,2,2071.0,5866.125976902906
108,1,2,2071.0,15211.484689715262
109,1,2,2071.0,5896.007181525437
110,1,2,2071.0,10750.969445531744
111,1,2,2071.0,4617.270237069358
112,1,2,2072.0,6026.550559034505
113,1,2,2072.0,4622.233939195815
114,1,2,2072.0,5523.506419587089
115,1,2,2072.0,4433.476661100203
116,1,2,2072.0,4522.230356004996
117,1,2,2072.0,11030.790907140326
118,1,2,2072.0,4993.5634822506
119,1,2,2072.0,11159.790578288355
120,1,2,2072.0,14572.766779523176
121,1,2,2072.0,8300.411692854545
122,1,2,2072.0,4738.617117976337
123,1,2,2072.0,11705.19728119625
124,2,4,2094.0,346.54632836277233
125,2,4,2365.0,205.67495012517074
126,2,4,2367.0,527.0173622402925
127,2,4,2367.0,524.8678563802325
128,1,2,2465.0,5118.355237179056
129,1,2,2465.0,10531.449316335338
130,1,2,2465.0,10459.532610578273
131,1,2,2465.0,4266.612214318849
132,1,2,2465.0,5123.778193284502
133,1,2,2465.0,4739.632145601131
134,1,2,2465.0,3717.0031904842895
135,1,2,2465.0,4043.325608411911
136,1,2,2465.0,4591.12810532294
137,1,2,2465.0,4218.247370532142
138,1,2,2465.0,3740.636777238165
139,1,2,2465.0,4628.889784249291
140,1,2,2465.0,4388.080119248732
141,1,2,2465.0,10489.752698135551
142,1,2,2465.0,4591.885978682231
143,1,2,2466.0,5031.19349407962
144,1,2,2466.0,5163.490587156943
145,1,2,2466.0,5212.24473682618
146,1,2,2466.0,5048.106031132146
147,1,2,2466.0,10298.152427857205
148,1,2,2469.0,8077.445573882011
149,1,2,2469.0,15013.429735975285
150,1,2,2469.0,14449.803784519787
151,1,2,2469.0,8332.73355953075
152,1,2,2470.0,18182.642700527118
153,1,2,2470.0,8262.096691795714
154,1,2,2470.0,7981.987769470644
155,1,2,2470.0,14562.777103313569
156,1,2,2470.0,5947.08812323013
157,1,2,2470.0,7966.866453586241
158,1,2,2470.0,8482.796706957346
159,1,2,2470.0,8433.614920425101
160,1,2,2470.0,8364.154148970343
161,1,2,2470.0,8066.209838045374
162,1,2,2470.0,8162.113772753731
163,1,2,2470.0,8473.480585376241
164,1,2,2470.0,8222.338095583093
165,1,2,2470.0,14929.299709645164
166,1,2,2470.0,8124.078310496418
167,1,2,2470.0,8401.376434183358
168,1,2,2524.0,39818.214781532086
169,2,4,2542.0,40.70660024232909
170,1,2,2546.0,2029.5554003022912
171,1,1,2546.0,422.79536079356825
172,1,1,2546.0,399.926744759592
173,16,32,2554.0,60.07037501576165
174,2,4,2592.0,32.29248532736361
175,2,4,2633.0,173.6358685162724
176,2,4,2715.0,397.47670580588454
177,1,2,2730.0,12875.389098315347
178,2,4,2739.0,66.72684884906712
179,1,1,2769.0,1471.4087680719372
180,2,4,2868.0,628.2010610609249
181,1,2,2894.0,14350.119084253509
182,1,2,2894.0,7930.787639426408
183,1,2,2894.0,7942.381045963404
184,1,2,2894.0,7955.830839948149
185,1,2,2894.0,7550.534838602869
186,1,2,2894.0,7527.454228284804
187,1,2,2894.0,8102.322365953702
188,1,2,2894.0,7675.601421650399
189,1,2,2894.0,7543.767808328625
190,1,2,2894.0,8188.937892937616
191,1,2,2894.0,7886.677844286165
192,1,2,2894.0,13960.215620169423
193,1,2,2894.0,7597.3312016375085
194,1,2,2894.0,7742.714868456482
195,1,2,2894.0,7530.414524657436
196,1,2,2894.0,7622.669881084669
197,1,2,2894.0,7696.366957484724
198,1,2,2894.0,13886.192786098767
199,1,2,2894.0,14827.833770566094
200,1,2,2894.0,7936.190032102816
201,2,4,2921.0,565.9267870930975
202,2,4,3254.0,57.514322511780485
203,1,2,3275.0,355.1840260369199
204,1,2,3282.0,10650.85730753519
205,1,2,3282.0,11488.784236775093
206,1,2,3282.0,11121.55227955298
207,1,2,3282.0,10591.303134417574
208,1,2,3282.0,11186.323915506426
209,1,2,3283.0,12942.11399317086
210,1,2,3283.0,12383.662748800969
211,1,2,3283.0,13902.67913787273
212,1,2,3283.0,10814.532651140633
213,1,2,3283.0,10773.882426561706
214,1,2,3283.0,10715.67435717081
215,1,2,3283.0,10602.516499344205
216,1,2,3283.0,10813.066965293403
217,1,2,3283.0,12084.963265724491
218,1,2,3283.0,11465.81928500344
219,1,2,3283.0,11955.3633857454
220,1,2,3283.0,10786.72581753429
221,1,2,3283.0,13708.181705353614
222,1,2,3283.0,11591.934897973091
223,1,2,3283.0,11239.050591788064
224,1,2,3288.0,10564.273981030243
225,1,2,3291.0,33334.8133387311
226,1,2,3291.0,14261.90135468499
227,1,2,3291.0,14049.240579384099
228,1,2,3291.0,14655.287033909677
229,1,2,3291.0,50654.647863243976
230,1,2,3291.0,14032.756508645729
231,1,2,3291.0,49073.12883335895
232,1,2,3291.0,116.03874871421377
233,1,2,3292.0,117.10871859058663
234,1,2,3292.0,14046.465923922318
235,1,2,3292.0,49592.40374520437
236,1,2,3292.0,14131.034134073554
237,1,2,3292.0,116.60584483117303
238,1,2,3292.0,14108.903185268062
239,1,2,3292.0,52197.873958578144
240,1,2,3292.0,51722.55752785074
241,1,2,3292.0,22552.032679427888
242,1,2,3292.0,123.51743649686853
243,1,2,3292.0,21610.556826663254
244,1,2,3292.0,18988.670640957283
245,1,2,3297.0,34738.60900621455
246,1,2,3297.0,113.12052509461185
247,1,2,3297.0,16797.344334759455
248,1,2,3297.0,102.29878682933541
249,1,2,3297.0,105.82237119925068
250,1,2,3297.0,16513.312776957904
251,1,2,3297.0,113.94572183717051
252,1,2,3297.0,24292.898148015225
253,1,2,3297.0,110.01295568589398
254,1,2,3297.0,16324.102660376575
255,1,2,3297.0,17288.01701782733
256,1,2,3297.0,109.34871205585426
257,1,2,3297.0,102.77461395277409
258,1,2,3298.0,112.6535974673576
259,1,2,3298.0,21465.47224255558
260,1,2,3298.0,115.16110080612023
261,1,2,3298.0,113.6368639576661
262,1,2,3298.0,103.51729689956088
263,1,2,3298.0,24039.914193038807
264,1,2,3298.0,111.15865807037554
265,1,2,3310.0,7681.801746026916
266,1,2,3310.0,5531.5987204948315
267,1,2,3310.0,13530.019310564565
268,1,2,3310.0,4816.717177958135
269,1,2,3310.0,14334.097594545336
270,1,2,3310.0,7177.521723879164
271,1,2,3310.0,14320.121135797728
272,1,2,3310.0,7125.920869520401
273,1,2,3310.0,7132.580688292048
274,1,2,3310.0,5376.898230454512
275,1,2,3310.0,5155.519865926121
276,1,2,3310.0,7326.049140303897
277,1,2,3310.0,4788.1583859143575
278,1,2,3310.0,7558.628297319753
279,1,2,3310.0,12358.60152074116
280,1,2,3310.0,8218.535475959876
281,1,2,3310.0,7098.283972033683
282,1,2,3310.0,14994.329347268147
283,1,2,3310.0,7149.472021575867
284,1,2,3310.0,7533.2881611667735
285,1,2,3310.0,8286.465798551752
286,1,2,3319.0,15541.29142919953
287,1,2,3319.0,90.21291245952146
288,1,2,3319.0,93.4279891303929
289,1,2,3319.0,13118.747065389278
290,1,2,3319.0,91.24050260132827
291,1,2,3319.0,92.16265696607837
292,1,2,3319.0,14895.160714384172
293,1,2,3319.0,86.47913248356524
294,1,2,3319.0,28226.079420478512
295,1,2,3319.0,12709.638153346737
296,1,2,3319.0,15247.893848805148
297,1,2,3319.0,91.90918941940966
298,1,2,3319.0,14910.240096683212
299,1,2,3319.0,91.6630624336043
300,1,2,3319.0,90.91011292004728
301,1,2,3319.0,12681.764157714391
302,1,2,3319.0,96.50001239711405
303,1,2,3319.0,89.91992586305922
304,1,2,3319.0,91.06841140698718
305,1,2,3319.0,41141.56322558693
306,1,2,3319.0,88.82441944532177
307,1,2,3320.0,15425.804923308935
308,1,2,3320.0,94.70817783159943
309,1,2,3320.0,89.07664980092724
310,1,2,3320.0,86.18606549066247
311,1,2,3320.0,88.3029006713095
312,1,2,3320.0,14324.331911063851
313,1,2,3320.0,89.94843536040037
314,1,1,3339.0,4964.242989493234
315,8,16,3480.0,58.61489338208873
316,8,16,3636.0,202.43882069591746
317,8,16,3638.0,539.0934054072949
318,8,16,3638.0,515.6770942299192
319,1,1,3651.0,11917.923157346231
320,1,1,3657.0,715.9495176234109
321,1,1,3659.0,9518.265771034452
322,4,16,3667.0,6271.914854925619
323,1,2,3732.0,7215.810574297821
324,1,2,3732.0,4435.390528346363
325,1,2,3732.0,7290.995767162125
326,1,2,3732.0,7651.277240266503
327,1,2,3732.0,4022.0313140594126
328,1,2,3732.0,13712.050137732545
329,1,2,3732.0,7293.64220240137
330,1,2,3732.0,6704.890738593573
331,1,2,3732.0,6744.8360653704585
332,1,2,3732.0,4843.7551405955555
333,1,2,3733.0,4030.0282631122036
334,1,2,3733.0,4425.6939979626595
335,1,2,3733.0,14274.661109263954
336,1,2,3733.0,6191.598006142276
337,1,2,3733.0,13677.550642182128
338,1,2,3733.0,5472.3130862608
339,1,2,3733.0,7876.209057409198
340,1,2,3733.0,4355.921166902029
341,1,2,3733.0,6775.635349464553
342,1,2,3733.0,7057.138243201307
343,4,16,3748.0,6050.334770000826
344,8,16,3812.0,40.088321727746376
345,8,16,3861.0,40.955564968278374
346,1,2,3896.0,372.5253128548135
347,8,16,3913.0,180.988788249949
348,1,2,4008.0,70574.73121155298
349,1,2,4008.0,71070.57672587332
350,1,2,4008.0,34641.52530139095
351,1,2,4008.0,72043.9045643156
352,1,2,4008.0,70990.42225603166
353,1,2,4008.0,15491.946291181775
354,1,2,4008.0,14101.594281148635
355,1,2,4008.0,42561.537045089724
356,1,2,4008.0,17238.733736969927
357,1,2,4008.0,13906.010318388711
358,1,2,4008.0,73156.05000699138
359,1,2,4009.0,150522.83713867253
360,1,2,4009.0,69558.48355746715
361,1,2,4009.0,155206.57404091282
362,1,2,4009.0,71593.54514568628
363,1,2,4009.0,71336.70611101869
364,1,2,4011.0,71655.08346312887
365,1,2,4011.0,14195.183968764646
366,8,16,4018.0,70.48571248373865
367,1,2,4031.0,5298.828518698897
368,1,2,4031.0,5377.581949271049
369,1,2,4031.0,14377.626677928663
370,1,2,4031.0,14700.598664295447
371,1,2,4031.0,66438.08036853024
372,1,2,4031.0,61045.185246698
373,1,2,4031.0,14468.631853909335
374,1,2,4031.0,9378.230772453597
375,1,2,4032.0,61654.479127753475
376,1,2,4032.0,47685.881249983424
377,2,4,4064.0,59.434672303270524
378,2,8,4064.0,58.05646465405734
379,1,1,4095.0,128.84284445414517
380,1,2,4096.0,12508.566973754063
381,1,2,4096.0,12497.644922864145
382,1,1,4129.0,2361.072085720166
383,8,16,4146.0,646.6313005251851
384,8,16,4200.0,583.0769201636539
385,1,2,4234.0,12889.295489491411
386,1,2,4234.0,6584.598772875627
387,1,2,4234.0,13884.081578322232
388,1,2,4234.0,12899.174564762016
389,1,2,4234.0,3559.424964462281
390,1,2,4234.0,6789.099161775492
391,1,2,4234.0,12825.427391878133
392,1,2,4234.0,13012.78871387092
393,1,2,4234.0,6238.370935265463
394,1,2,4234.0,6528.4953204096655
395,1,2,4234.0,6121.456709544377
396,1,2,4234.0,3484.9530541981944
397,1,2,4234.0,6033.631969000685
398,1,2,4234.0,6314.760895615677
399,1,2,4234.0,14027.699430435063
400,1,2,4234.0,6304.873259288707
401,1,2,4234.0,13182.063084827492
402,1,2,4234.0,6400.114649556288
403,1,2,4235.0,6223.880223014807
404,1,2,4235.0,6583.377680712802
405,1,2,4241.0,77.9753262285985
406,1,2,4241.0,14177.21824519605
407,1,2,4241.0,15887.11680318009
408,1,2,4241.0,15700.92092027908
409,1,2,4241.0,11722.033957894138
410,1,2,4241.0,14689.676086067097
411,1,2,4241.0,13136.687370511789
412,1,2,4241.0,14234.935296272073
413,1,2,4241.0,16266.135356076198
414,1,2,4241.0,14859.467661714032
415,1,2,4241.0,12198.365502672377
416,1,2,4241.0,12971.97555106756
417,1,2,4241.0,12569.633092366148
418,1,2,4241.0,12796.14838334067
419,1,2,4241.0,74.08386783548022
420,1,2,4241.0,14366.970442652182
421,1,2,4241.0,76.48066977788471
422,1,2,4241.0,14319.101661451368
423,1,2,4241.0,12705.809657798209
424,1,2,4241.0,11936.271216490424
425,1,2,4285.0,44.04264023761136
426,1,2,4285.0,39.28151912842602
427,1,2,4285.0,42.3217757416707
428,1,2,4285.0,44.625923041816115
429,1,2,4285.0,42.60395885843956
430,2,4,4292.0,524005.00683506735
431,2,4,4308.0,96931.56462259857
432,2,4,4318.0,456162.66306107386
433,2,4,4343.0,177017.76962307916
434,1,1,4346.0,655140.3518550087
435,2,4,4377.0,178444.12769379688
436,1,1,4380.0,644703.2624591305
437,2,4,4383.0,1308745.564627132
438,1,2,4403.0,453138.0424420936
439,1,1,4407.0,532564.8540322424
440,1,1,4417.0,558964.4039358763
441,1,1,4424.0,183597.8154303433
442,1,1,4435.0,179801.50134009673
443,2,4,4452.0,986512.1076294289
444,1,1,4475.0,180256.1090967385
445,1,1,4477.0,530574.1975544047
446,2,4,4478.0,635251.1866746619
447,1,1,4478.0,1379551.6575152313
448,1,1,4498.0,534770.2766132549
449,1,1,4500.0,7665.383310355984
450,1,1,4506.0,2695.28491752213
451,1,1,4525.0,528645.1476892075
452,1,1,4526.0,986193.6996320736
453,1,1,4531.0,1351651.8632190146
454,8,16,4538.0,58.510918676140456
455,4,16,4548.0,385.72136601044934
456,2,4,4554.0,647995.1160476054
457,2,4,4647.0,31505.69313498902
458,1,1,4660.0,650271.2114027799
459,1,1,4698.0,32255.874298164203
460,1,1,4702.0,1314108.2164037186
461,1,1,4706.0,566.7127946524394
462,2,4,4759.0,538431.6870124801
463,8,16,4761.0,33209.8282870467
464,1,1,4767.0,1722.9160736891226
465,1,2,4781.0,12156.976289063146
466,1,2,4781.0,5476.737921218663
467,1,2,4781.0,3675.1379553072775
468,1,2,4781.0,3658.099118202738
469,1,2,4781.0,5751.060546992757
470,1,2,4782.0,12925.827757686991
471,1,2,4782.0,12995.746709217332
472,1,2,4782.0,5995.329727492591
473,1,2,4782.0,5130.566910216993
474,1,2,4782.0,12747.542146018488
475,1,2,4782.0,5671.818951521713
476,1,2,4782.0,3801.054898219022
477,1,2,4782.0,3899.5120567863087
478,1,2,4782.0,12499.378873489686
479,1,2,4782.0,5648.757649483174
480,1,2,4782.0,12270.057545070116
481,1,2,4782.0,3843.2321447347344
482,1,2,4782.0,12796.817401218563
483,1,2,4782.0,5707.57746952677
484,1,2,4782.0,3790.589975027034
485,4,8,4783.0,177702.38336053974
486,1,2,4786.0,14012.99019862774
487,1,2,4786.0,12930.537383713572
488,1,2,4786.0,13400.915914959514
489,1,2,4786.0,13203.720088336451
490,1,2,4786.0,13391.90529849575
491,1,2,4786.0,13379.343675317228
492,1,2,4787.0,13395.134212074347
493,4,16,4847.0,83.17805630528129
494,1,1,4859.0,4009.060176601656
495,2,4,4875.0,647262.310636447
496,1,1,4920.0,3522.378706153772
497,1,1,4977.0,30206.31694198968
498,1,1,5097.0,7760.545247057857
499,1,1,5142.0,556285.1793725567
500,1,1,5201.0,176853.87257895633
501,2,4,5268.0,192430.2770826556
502,1,1,5291.0,289.1832035476188
503,1,1,5298.0,6816.78138985699
504,1,2,5312.0,14021.80307147256
505,1,2,5333.0,9278.188620846518
506,1,2,5333.0,9454.142693732992
507,1,2,5333.0,9411.32762099752
508,1,2,5972.0,204.82603173163906
509,1,2,5974.0,520.3389011607089
510,1,2,5974.0,519.0872646968052
511,1,2,6025.0,42.39481769427627
512,1,1,6045.0,27597.17112268409
513,1,2,6150.0,44.87363998101131
514,1,1,6151.0,676.5065512480554
515,1,2,6201.0,35.56076673572447
516,4,8,6202.0,519.3157957319868
517,1,2,6244.0,188.09940604840557
518,1,1,6346.0,200538.93313156848
519,1,2,6351.0,75.49104732112201
520,1,1,6417.0,2126.8323785488046
521,1,1,6436.0,2246.612937279184
522,4,8,6475.0,9559.820157047534
523,1,2,6484.0,670.9509104603569
524,1,2,6496.0,5742.04476299294
525,1,2,6496.0,5391.152455521376
526,1,2,6496.0,5571.531844134781
527,1,2,6539.0,621.0439621670544
528,1,1,6559.0,2254.062161577033
529,1,2,6563.0,6886.128160337555
530,2,8,6579.0,9717.187699158592
531,1,2,6582.0,1471.4183680812223
532,1,1,6626.0,5025.447123097905
533,1,2,6721.0,1213.8890179312943
534,1,1,6738.0,2094.4302747212187
535,2,8,6745.0,60.204023038390176
536,1,2,6776.0,54031.49782049211
537,1,2,6799.0,6822.36779112465
538,4,8,6818.0,7138.077758685845
539,1,1,6833.0,2562694.2749123345
540,1,2,6890.0,62.163345120076954
541,2,8,6913.0,7428.177698557678
542,4,8,6952.0,2389.8522676519856
543,1,2,6964.0,6557.611401665867
544,1,2,7042.0,5247.093357927042
545,1,2,7042.0,5223.46362125599
546,2,4,7047.0,3732.898092348086
547,8,16,7183.0,200.53349664292915
548,8,16,7185.0,517.8973145358302
549,8,16,7185.0,506.6668095950482
550,1,1,7275.0,604.6703006482196
551,2,8,7321.0,9265.860908862605
552,8,16,7359.0,43.46772392638509
553,1,1,7362.0,623862.8793036713
554,8,16,7408.0,32.67047880248126
555,8,16,7450.0,175.74601599144117
556,4,8,7499.0,8183.408225617082
557,1,1,7509.0,1351.7468298851045
558,4,8,7530.0,88255.14400535387
559,8,16,7554.0,68.81683842239919
560,2,8,7600.0,8742.555572105262
561,1,2,7607.0,3768.924202733112
562,1,2,7607.0,3720.7432380901855
563,1,2,7607.0,3728.115631539632
564,1,2,7607.0,3739.5478260101268
565,1,1,7652.0,3093.0646243358033
566,8,16,7683.0,619.5523711451282
567,1,2,7711.0,5781.848009356445
568,2,4,7720.0,1119.2708588184184
569,8,16,7736.0,582.3757447733647
570,1,2,7855.0,6377.344656114183
571,2,4,7867.0,925.9998912773027
572,2,4,7867.0,922.8088802405737
573,2,4,7867.0,921.6461779236608
574,2,4,7867.0,932.4190525844177
575,2,4,7867.0,934.2147874282647
576,2,4,7867.0,928.5274485688448
577,2,4,7867.0,950.0936205417426
578,2,4,7867.0,942.9677847399172
579,2,4,7867.0,942.0827948861597
580,2,4,7867.0,955.9415477536589
581,2,4,7867.0,924.2759317451679
582,2,4,7867.0,926.7192296930644
583,2,4,7867.0,932.3489572195544
584,2,4,7867.0,930.6025362905488
585,2,4,7867.0,995.3562569699072
586,2,4,7867.0,970.0888192368327
587,2,4,7867.0,958.3528779917136
588,2,4,7867.0,930.3993128125916
589,2,4,7867.0,936.2285646975645
590,2,4,7868.0,931.9518067372815
591,1,1,7916.0,4113.134911624891
592,1,1,7931.0,1237.184706915806
593,4,8,7952.0,63.18877711533133
594,1,1,7967.0,612903.0149683368
595,1,1,7967.0,610603.1896140301
596,1,1,7968.0,614255.4346327552
597,1,1,7968.0,613699.9178526688
598,1,1,7968.0,610044.8404776055
599,1,2,8039.0,36140.76331274435
600,4,8,8060.0,2193.947799764218
601,8,16,8070.0,56.83021224065214
602,1,2,8184.0,5194.860929102328
603,1,2,8184.0,4694.545847597502
604,1,2,8184.0,4640.549090201964
605,1,2,8184.0,4881.638174696785
606,1,2,8184.0,4599.372231423595
607,1,2,8184.0,8724.725059097545
608,1,2,8184.0,4592.406283644226
609,1,2,8184.0,4578.636559228544
610,1,2,8184.0,7570.214778820808
611,1,2,8184.0,8505.613883536993
612,2,8,8188.0,7834.138810766143
613,1,1,8326.0,583.9244013959415
614,1,1,8509.0,2275.2212901985695
615,4,8,8535.0,95402.61938827432
616,2,4,8552.0,58.184492900124525
617,2,4,8566.0,17260.104818457192
618,2,4,8595.0,1103210.6281501467
619,1,1,8636.0,1023.2064349683627
620,1,1,8693.0,585.113628258872
621,1,1,8758.0,498.14074655423696
622,1,4,9027.0,2729.074003298737
623,2,4,9103.0,1747.292757211423
624,4,8,9196.0,6664.900372201016
625,2,4,9221.0,1522.1046981577222
626,2,8,9286.0,7042.381087696021
627,8,32,9338.0,18499.880473114383
628,8,32,9338.0,17467.781046925305
629,8,32,9338.0,17436.872811104604
630,8,32,9339.0,19138.754042430086
631,8,32,9339.0,17774.593906310063
632,8,32,9339.0,18931.503494416524
633,8,32,9339.0,17891.216451391945
634,8,32,9339.0,19041.612893141366
635,8,32,9339.0,18787.07704358028
636,8,32,9339.0,19312.70409122198
637,8,32,9339.0,19604.130921177904
638,8,32,9339.0,18836.40768908864
639,8,32,9339.0,19020.25974325865
640,8,32,9339.0,18060.1207909145
641,8,32,9339.0,18287.125280156786
642,8,32,9339.0,18734.087587877744
643,8,32,9339.0,17822.360083411033
644,8,32,9339.0,18605.21698137831
645,8,32,9339.0,19242.869700003743
646,8,32,9339.0,19810.139406038335
647,8,32,9339.0,17619.85893900175
648,8,32,9339.0,19021.06133960046
649,8,32,9339.0,18771.2072060389
650,8,32,9339.0,17958.037466060494
651,8,32,9340.0,18823.51044363358
652,8,32,9340.0,18143.30103987872
653,8,32,9340.0,20485.10243465522
654,8,32,9340.0,18587.653421854007
655,8,32,9340.0,19187.28788214727
656,8,32,9340.0,18232.464995261555
657,8,32,9340.0,18730.6235046887
658,8,32,9340.0,17886.645283058748
659,8,32,9340.0,19386.557532237726
660,8,32,9340.0,18890.078235600355
661,8,32,9340.0,19171.49532867461
662,8,32,9341.0,19280.22424454131
663,8,32,9341.0,19927.276230187217
664,8,32,9341.0,19472.252911772714
665,8,32,9341.0,19175.784593185097
666,8,32,9341.0,18982.88983520866
667,8,32,9341.0,18944.00168147181
668,8,32,9341.0,19749.143149805837
669,8,32,9341.0,18957.932604319467
670,8,32,9341.0,18635.624577431317
671,1,2,9352.0,17469.42925083978
672,1,2,9352.0,9708.41669521672
673,1,2,9352.0,10319.704500291322
674,1,2,9354.0,3689.345461892101
675,1,2,9354.0,3673.9208679098733
676,1,2,9354.0,3589.774718063285
677,1,2,9354.0,3581.9497136626974
678,1,2,9354.0,3573.666256366737
679,1,2,9354.0,8248.036592231143
680,1,2,9354.0,3646.5990108340666
681,1,2,9355.0,4004.152877086327
682,1,2,9355.0,3782.41148188832
683,1,2,9355.0,3636.259150298635
684,1,2,9355.0,3691.0804779305745
685,1,2,9355.0,3686.3728607156686
686,1,2,9355.0,3613.0592148259634
687,1,2,9355.0,3595.473212785374
688,1,2,9355.0,3986.6133250567336
689,1,2,9355.0,3580.0164453408033
690,1,2,9361.0,6858.429274895723
691,1,2,9361.0,7429.038487806594
692,1,2,9361.0,30494.38470559887
693,1,2,9361.0,19112.470824925265
694,1,2,9361.0,9435.554518631154
695,1,2,9361.0,8794.839233381068
696,1,2,9361.0,8667.408978819334
697,1,2,9361.0,7064.0735519739255
698,1,2,9361.0,8978.04403420885
699,1,2,9361.0,8942.590375704018
700,1,2,9361.0,9145.992974991961
701,1,2,9361.0,9518.270419901854
702,1,2,9361.0,7552.942112006129
703,1,2,9361.0,8979.229567912564
704,1,2,9362.0,9247.953279803727
705,1,2,9362.0,8647.326445597506
706,1,2,9362.0,30812.45820104369
707,1,2,9362.0,7533.3787103170935
708,1,2,9362.0,9009.75084366566
709,1,2,9362.0,9811.891780192438
710,1,2,9362.0,9063.463578851817
711,1,2,9362.0,9199.961190864946
712,1,2,9362.0,8462.562247836535
713,1,2,9363.0,7098.626849289053
714,2,4,9521.0,199847.82393619086
715,1,2,9574.0,5953.750559811028
716,1,2,9574.0,6872.035528703232
717,1,2,9574.0,8328.263413458524
718,1,2,9574.0,6793.503980730437
719,1,2,9574.0,8391.50614074444
720,1,2,9574.0,6530.649122127775
721,1,2,9574.0,8260.037449480827
722,1,2,9574.0,8243.825644552526
723,1,2,9574.0,6019.133615225877
724,1,2,9574.0,6201.944509168129
725,1,2,9574.0,8151.419507135132
726,1,2,9574.0,6004.736372911439
727,1,2,9574.0,5892.710370444867
728,1,2,9574.0,6007.57737566666
729,1,2,9574.0,7209.082651500561
730,1,2,9574.0,24655.62937904682
731,1,2,9574.0,5972.490808118814
732,1,2,9574.0,8958.17195267527
733,1,2,9574.0,6191.095954363592
734,1,2,9574.0,5954.761741580649
735,1,1,9643.0,3382.680788880508
